MOF_name,n_C,formula,non_mof_flag,hard_flag,hard_reason
ATAFIK_clean,80,C80O64Zn16H16,False,False,Valid
ATAYAX_clean,132,C132H60O48Zn12N6F6,False,False,Valid
ATAYEB_clean,132,C132H60O48Cu12F12N6,False,False,Valid
ATEYOP_clean,640,C640H352O128Gd24,False,False,Valid
ATEYUV_clean,640,C640H352O128Ho24,False,False,Valid
ATEZAC_clean,320,C320H176O64Er12,False,False,Valid
ATEZEG_clean,352,C352H208O64Yb12,False,False,Valid
ATEZIK_clean,352,C352H208O64Lu12,False,False,Valid
ATIJUJ_manual,36,H54C36O18Co6P6N6,False,True,Atomic overlap (min_dist=0.665Å); Isolated atoms (22)
ATIXAE_clean,96,C96H48O24N12Tb4,False,False,Valid
ATOGEV_clean,0,O48P16H16Zn12,True,True,Non-MOF (0 Carbons)
ATOWIQ_clean,40,C40H32O16N6Zn4,False,True,Atomic overlap (min_dist=0.651Å); Isolated atoms (2)
ATOWOW_clean,40,C40H32O16N6Zn4,False,True,Atomic overlap (min_dist=0.653Å); Isolated atoms (4)
ATUXIY_clean,136,C136O80H56Eu12,False,False,Valid
ATUZEW_clean,270,C270O144H54Cu18,False,False,Valid
AVAKAL_clean,312,C312H192O48Cu12N8,False,False,Valid
AVAKEP_clean,384,C384H288O48Cu12N8,False,False,Valid
AVELOD_clean,120,H120C120N24O16Cu8,False,False,Valid
AVELUJ_clean,120,H120C120N24O16Ni8,False,False,Valid
AVEMAQ_clean,120,H120C120N24O16Ni8,False,False,Valid
AVEQID_clean,88,C88H40O32Zn8N4,False,False,Valid
AVESOL_clean,92,C92O40H36Zn8,False,False,Valid
AVESUR_clean,184,C184O80H72Cd16,False,False,Valid
AVETAY_clean,192,C192O96H80Zn12,False,True,Atomic overlap (min_dist=0.743Å)
AVIHIY_clean,36,C36O24H12Ho4,False,False,Valid
AVIHOE_clean,36,C36O24H12Tm4,False,False,Valid
AVILEY_clean,576,C576H288O160Hf48N48Cl24Ir12,False,False,Valid
AVIMOI_clean,120,C120H72O40Zn8,False,False,Valid
AVIPAX_clean,84,C84O48H36Mg12N12,False,False,Valid
AVIPOL_clean,56,C56O32H24Mg8N8,False,False,Valid
AVITUU_clean,384,C384H256N64Cu16S16,False,False,Valid
AVIVAC_clean,384,C384H256N64Ag16S16,False,False,Valid
AVIVEG_clean,384,C384H256N64Ag16S16,False,False,Valid
AVIVIK_clean,384,C384H256N64Ag16S16,False,False,Valid
AVIVOQ_clean,384,C384H256N64Ag16S16,False,False,Valid
AVIVUW_clean,384,C384H256N64Ag16S16,False,False,Valid
AVOSIO_charged,198,H216C198O36F18Ag6Sb3,False,True,Atomic overlap (min_dist=0.551Å); Isolated atoms (87)
AVUCEA_clean,324,C324O216H108Co36,False,False,Valid
AWAGEL_clean,108,C108H84N28Cd4,False,False,Valid
AWAHEM_clean,24,O60H24C24P12U10Mn4,False,False,Valid
AWASEY_clean,240,C240H160O80Cu48I48N40Pr12K4,False,False,Valid
AWAWUR_clean,180,C180H84O78N24Co18,False,False,Valid
AWEDOW_charged,228,C228H176N64O40Zn8,False,False,Valid
AWEJIW_clean,84,C84H44O24Cd6,False,True,Atomic overlap (min_dist=0.651Å); Isolated atoms (8)
AWEVIJ_clean,848,C848H704N72O64Zn16,False,False,Valid
AWOFOI_clean,36,C36O24H12Ce4,False,False,Valid
AWUPAL_clean,200,C200H104O32N8In4Fe2,False,False,Valid
AXIMUP_clean,96,C96H96O16N16La4,False,False,Valid
AXINAX01_clean,324,C324H180O72Co22,False,False,Valid
AXIPEE01_clean,144,C144H80N64Au16Fe8,False,False,Valid
AXIPEE02_clean,432,C432H240N192Au48Fe24,False,False,Valid
AXIPEE03_clean,144,C144H80N64Au16Fe8,False,False,Valid
AXIPEE_clean,144,C144H80N64Au16Fe8,False,False,Valid
AXUBAW_manual,72,C72H72O26Zn8,False,True,Isolated atoms (36)
AXUBOL_clean,120,C120H76O52Ni12N12,False,True,Atomic overlap (min_dist=0.724Å); Isolated atoms (34)
AXUHEH_clean,264,H264C264O56S16N16Co6Na4,False,False,Valid
AYOXUJ_clean,144,C144H128O32N16Co8,False,False,Valid
AYUJIP_clean,558,H702C558O288Mn108N36,False,True,Overcoordinated N (18)
AZAFIS_clean,16,C16O8Br4H4Ca2,False,False,Valid
AZAVUU_clean,192,C192H96O48Cu12,False,False,Valid
AZAWAB_clean,192,C192H100O50Cu12,False,False,Valid
AZEBUE_clean,72,C72O48H24S12Ho8,False,False,Valid
AZIVAI_clean,80,C80H48N16Cu4,False,False,Valid
AZIXUD_clean,68,C68O40H32Zn8,False,False,Valid
BADYAJ_clean,192,C192H120N48O48Tb8,False,False,Valid
BAFHAU_clean,48,C48N16Cu16,False,False,Valid
BAKGIF_manual,24,C24N24H20Ni2,False,True,Atomic overlap (min_dist=0.798Å)
BAKJEE_clean,104,C104H56O32Co8N8,False,False,Valid
BAKJII_clean,52,C52H28O16Co4N4,False,False,Valid
BAKJOO_clean,78,C78H42O24Co6N6,False,False,Valid
BAKYOE_clean,64,C64H48O44N20Mg8,False,False,Valid
BAMKIM_clean,88,C88H84N24O20Cu8,False,False,Valid
