Target,Feature,spearman_r,spearman_p
log10_CO2N2_actual_selectivity,void_fraction,-0.6693660702415768,4.48263423299609e-33
log10_CO2N2_actual_selectivity,accessible_pore_vol,-0.1023827122014877,0.11065601382831433
log10_CO2N2_actual_selectivity,has_oms,-0.19080950890663217,0.0027644937353280227
log10_CO2N2_actual_selectivity,density_g_cm3,0.5910187394174695,2.25709829716203e-24
log10_CO2N2_actual_selectivity,uc_volume_A3,-0.3541934684439352,1.2719550249328687e-08
log10_CO2N2_actual_selectivity,C_mass_frac,-0.06854410129272175,0.2862203698830482
log10_CO2N2_actual_selectivity,N_mass_frac,-0.057245207573440614,0.3732847915542299
log10_CO2N2_actual_selectivity,O_mass_frac,0.05706774386275556,0.3747706459844524
log10_CO2N2_actual_selectivity,catenation,-0.02961653864683007,0.6452646466689529
log10_CO2N2_actual_selectivity,O_coord_ratio,-0.13252723569041905,0.03857945585807649
log10_CO2N2_actual_selectivity,shortest_MM_dist,0.05317992380647967,0.40822760641734424
log10_CO2N2_actual_selectivity,ligand_MW,-0.028375782905563637,0.6591719911066078
log10_CO2N2_actual_selectivity,ligand_LogP,-0.03121696482819122,0.6275069048007891
log10_CO2N2_actual_selectivity,ligand_n_heavy,-0.03690902340922605,0.5661218495889264
log10_CO2N2_actual_selectivity,ligand_n_aromatic_rings,0.034104399612794926,0.5960104197053757
log10_CO2N2_actual_selectivity,ligand_n_carboxylate,-0.11542330004954746,0.07190312662603945
log10_CO2N2_actual_selectivity,ligand_n_N_hetero,0.14361681885221217,0.0248652730663611
log10_CO2N2_actual_selectivity,ligand_n_halogen,-0.020923668268639985,0.7450331764506679
log10_CO2N2_actual_selectivity,ligand_n_amino,-0.23156134457772654,0.00026404322079572707
log10_CO2N2_actual_selectivity,ligand_TPSA,-0.05685653594554382,0.3765437590911771
log10_CO2N2_actual_selectivity,metal_Cu,-0.23409004298864264,0.00022494523772484482
log10_CO2N2_actual_selectivity,metal_Mn,-0.016516721627404744,0.7974164650983452
log10_CO2N2_actual_selectivity,metal_Ni,-0.04244951820127387,0.5092697031934974
log10_CO2N2_actual_selectivity,metal_Other,0.2238541443247359,0.0004257611815328955
log10_CO2N2_actual_selectivity,metal_Zn,-0.024277584885704324,0.7059237256136061
log10_CO2N2_actual_selectivity,metal_Zr,-0.05601408319121653,0.3836672779570739
log10_CO2N2_actual_selectivity,topo_dia,0.07904578849563393,0.21857720625498772
log10_CO2N2_actual_selectivity,topo_error,-0.040899886036355734,0.5248663050494178
log10_CO2N2_actual_selectivity,topo_lim,0.056062692527723286,0.3832540369270492
log10_CO2N2_actual_selectivity,topo_lvt,0.10447791175075093,0.10350890752822255
log10_CO2N2_actual_selectivity,topo_ntt,-0.23581414982649268,0.0002014603479530983
log10_CO2N2_actual_selectivity,topo_pcu,-0.16040115481061415,0.012109190960652634
log10_CO2N2_actual_selectivity,topo_pto,-0.22959007416115249,0.00029881871860034406
log10_CO2N2_actual_selectivity,topo_pts,0.1174024920846215,0.0671296835092815
