Target,Model,R2_mean,R2_std,MAE_mean,RMSE_mean
log10_CO2N2_Henry_selectivity,Ridge,0.3285851883208715,0.2559141706002612,0.1521706195540349,0.2253950171297329
log10_PE_VSA_parasitic_energy,SVR,-0.7131811479447807,0.31295005011709714,0.0682822728275122,0.07529294447863487
log10_PE_VSA_parasitic_energy,RandomForest,0.6754466453201452,0.18464508185949646,0.019619786644092203,0.031889556093202404
log10_PE_VSA_parasitic_energy,ExtraTrees,0.6744223194149739,0.1790143094028654,0.018795281146101066,0.0319004543758617
log10_PE_VSA_parasitic_energy,XGBoost,0.6526656116829352,0.17717727140950748,0.0202159228126631,0.03322856031368555
log10_PE_VSA_parasitic_energy,Ridge,0.6176257978632574,0.1849712777558153,0.023618039148586425,0.03440254100697228
N2_Qst_Widom,SVR,0.43514605088387404,0.18419852378381293,1.3427107204886881,2.258212595320301
N2_Qst_Widom,RandomForest,0.5342065379177341,0.21832586436256612,1.175362500831389,2.0178879607386007
N2_Qst_Widom,ExtraTrees,0.5393248025524655,0.23471653379305055,1.1192764459833602,2.00074607768577
N2_Qst_Widom,XGBoost,0.48151984640578427,0.2213929492046722,1.2399001665880631,2.135088980873635
N2_Qst_Widom,Ridge,0.3194074580846379,0.28900196622251284,1.526141398761603,2.445734064123798
N2_Qst_GCMC_flue_mean,SVR,0.5832112031288713,0.09829306008782226,1.1657123482950502,1.799998133364295
N2_Qst_GCMC_flue_mean,RandomForest,0.7388275875133358,0.12191780201537004,0.9424884674744906,1.394651163499811
N2_Qst_GCMC_flue_mean,ExtraTrees,0.7581928931057046,0.119771122622934,0.8645716607142864,1.335317480830639
N2_Qst_GCMC_flue_mean,XGBoost,0.7419921523971477,0.13797637419790493,0.9404633582436309,1.3743227621875345
N2_Qst_GCMC_flue_mean,Ridge,0.569248124110341,0.19469589759384834,1.3014765854731585,1.7850737469447822
N2_ads_0.75bar,SVR,0.20299561124191579,0.1335363864074376,0.07813767630741283,0.10238073136465702
N2_ads_0.75bar,RandomForest,0.4822690370883775,0.14826000626469651,0.056683521789965975,0.08199974279760745
N2_ads_0.75bar,ExtraTrees,0.45336565024597153,0.2044166376527217,0.05477668426870751,0.08429170199587739
N2_ads_0.75bar,XGBoost,0.47301840844510723,0.1435634972010365,0.057609192553983155,0.08245775460359452
N2_ads_0.75bar,Ridge,-0.13557115266209963,0.3252919974771976,0.08623586484196431,0.12082312088250968
Qst_diff_CO2_N2,SVR,0.22447834644413475,0.14966266126422317,1.3949132991141702,2.2465906451736006
Qst_diff_CO2_N2,RandomForest,0.34818756443211063,0.1850377246662561,1.246205140518707,2.0463333956155463
Qst_diff_CO2_N2,ExtraTrees,0.2767576260028234,0.30217657756287863,1.2464650176445577,2.1520724912109332
Qst_diff_CO2_N2,XGBoost,0.33988714251570407,0.21331093017388789,1.2346065192013371,2.0384349861234794
Qst_diff_CO2_N2,Ridge,0.05733319640034823,0.23024552701829998,1.6439816994794423,2.468043171130119
