Target,Feature,beta_std,semipartial,p_value
CO2_Qst_CC_mean,uc_volume_A3,-0.036377399789027876,-0.01539162186683459,0.6687533529000833
CO2_Qst_CC_mean,C_mass_frac,0.07788918519229804,0.050555191957093355,0.15896359506090638
CO2_Qst_CC_mean,N_mass_frac,0.018417154749807214,0.007423320272680187,0.8365424035609377
CO2_Qst_CC_mean,O_mass_frac,-0.21625084228973698,-0.09063818091149246,0.011094868367764289
CO2_Qst_CC_mean,catenation,0.1514650006876019,0.12314321064328086,0.0005106918078596252
CO2_Qst_CC_mean,O_coord_ratio,0.21473344207785922,0.06724550384886636,0.0604828540985921
CO2_Qst_CC_mean,shortest_MM_dist,-0.06380825854618356,-0.04444466937383629,0.21586325590306363
CO2_Qst_CC_mean,ligand_MW,-0.16066481197981175,-0.00846021214230491,0.8140996514854162
CO2_Qst_CC_mean,ligand_LogP,0.08437376349297827,0.021837342651412656,0.5437298166219919
CO2_Qst_CC_mean,ligand_n_heavy,-0.19957020380444662,-0.009274975460345985,0.7965693775453861
CO2_Qst_CC_mean,ligand_n_aromatic_rings,0.3424148397943234,0.0812354369119607,0.02305465561528313
CO2_Qst_CC_mean,ligand_n_carboxylate,-0.12409251142333218,-0.04231831978397094,0.23872567477074869
CO2_Qst_CC_mean,ligand_n_N_hetero,-0.0028133351375238605,-0.0014637278813143665,0.9675513032473646
CO2_Qst_CC_mean,ligand_n_halogen,0.07795779152710608,0.05406445209638945,0.1318390524667805
CO2_Qst_CC_mean,ligand_n_amino,-0.05968004913204687,-0.016391048721031334,0.6486372915838112
CO2_Qst_CC_mean,ligand_TPSA,0.1634997993275813,0.02678585263644757,0.4563012051964531
CO2_Qst_CC_mean,metal_Cu,-0.059031970876295636,-0.02930200060652626,0.41504821404666414
CO2_Qst_CC_mean,metal_Mn,0.0022083764288653406,0.001647732784946143,0.9634748556936833
CO2_Qst_CC_mean,metal_Ni,-0.05516241359623254,-0.043005911658018425,0.23115436672313514
CO2_Qst_CC_mean,metal_Other,0.05086629525389641,0.0225075120764109,0.5314233649967214
CO2_Qst_CC_mean,metal_Zn,0.07447100244945351,0.04110267456350738,0.2525329795188622
CO2_Qst_CC_mean,metal_Zr,0.07976753524929292,0.04436752824587292,0.2166643080144726
CO2_Qst_CC_mean,topo_dia,0.004152937235186088,0.003617139873683926,0.9199252371119238
CO2_Qst_CC_mean,topo_error,-0.10629107096231358,-0.08758564113495704,0.014174244616644028
CO2_Qst_CC_mean,topo_lim,0.016254501013786556,0.01424710371993657,0.6920822993787847
CO2_Qst_CC_mean,topo_lvt,0.08766649324647516,0.07493491943885086,0.03624166283304166
CO2_Qst_CC_mean,topo_ntt,0.008434850263093319,0.004468839689111209,0.9011575086104029
CO2_Qst_CC_mean,topo_pcu,-0.18669131717228948,-0.13548529578648,0.00012500896612751316
CO2_Qst_CC_mean,topo_pto,0.009355834962402108,0.006173884624306687,0.8637603315055573
CO2_Qst_CC_mean,topo_pts,0.125715282479875,0.09359242080888037,0.008692466563320714
CO2_Qst_CC_mean,topo_tbo,0.06191172431718994,0.0461640271842974,0.19855530974815594
CO2_Qst_CC_mean,topo_tsy,0.05919075489047981,0.04905715900636273,0.1717426916408837
CO2_Qst_CC_1bar,LCD_A,0.4752731120313071,0.04280717566777067,0.2079013773096457
CO2_Qst_CC_1bar,PLD_A,-0.12765378440373837,-0.01721206815059026,0.6131999739659981
CO2_Qst_CC_1bar,LFPD_A,-0.3909043738184159,-0.045849714130272626,0.17725072505459064
CO2_Qst_CC_1bar,LCD_PLD_ratio,0.067438162504857,0.01730779870522792,0.611225853732347
CO2_Qst_CC_1bar,pore_vol_cm3_g,-0.03349673473343753,-0.019693955191179047,0.5629528207490198
CO2_Qst_CC_1bar,ASA_m2_cm3,0.2763326840824349,0.07803272637419689,0.021078745424444125
CO2_Qst_CC_1bar,ASA_m2_g,-0.1610120374502731,-0.03287235722091327,0.33390403921774325
CO2_Qst_CC_1bar,NASA_m2_cm3,-0.4963495558336767,-0.05198661539366626,0.12579840610588344
CO2_Qst_CC_1bar,NASA_m2_g,0.6742056177513948,0.06436303342986548,0.05764694830859632
CO2_Qst_CC_1bar,void_fraction,-0.9077601410164755,-0.15597483119458858,2.486715004501852e-06
CO2_Qst_CC_1bar,accessible_pore_vol,0.02241316512741552,0.017834994889432482,0.6004046807750123
CO2_Qst_CC_1bar,has_oms,-0.02401411021640957,-0.01915331514694202,0.573728947192299
CO2_Qst_CC_1bar,density_g_cm3,-0.03349673473343654,-0.019693955191178426,0.562952820749032
CO2_Qst_CC_1bar,uc_volume_A3,-0.021837233759462366,-0.009242099893524258,0.786103660502897
CO2_Qst_CC_1bar,C_mass_frac,0.06829003090705356,0.04435621980840715,0.1918507827239291
CO2_Qst_CC_1bar,N_mass_frac,0.012253507325240783,0.004939235733673931,0.884695132766742
CO2_Qst_CC_1bar,O_mass_frac,-0.21693221783187017,-0.09074451988217518,0.007170737402771556
CO2_Qst_CC_1bar,catenation,0.141390033459336,0.11504593172526965,0.0006071669786489397
CO2_Qst_CC_1bar,O_coord_ratio,0.18196521977281355,0.05708419290140316,0.09256281244685052
CO2_Qst_CC_1bar,shortest_MM_dist,-0.06283309991196225,-0.0437515500547841,0.19800501933780196
CO2_Qst_CC_1bar,ligand_MW,0.17479947327121229,0.009204094933716364,0.7869621449740836
CO2_Qst_CC_1bar,ligand_LogP,0.12907403557822109,0.033356425996047406,0.3268177168983648
CO2_Qst_CC_1bar,ligand_n_heavy,-0.6946942950606776,-0.032217947673500724,0.3436391021210058
CO2_Qst_CC_1bar,ligand_n_aromatic_rings,0.3358580626662877,0.07960420861568998,0.01858876243620235
CO2_Qst_CC_1bar,ligand_n_carboxylate,-0.07284834202683124,-0.024896620652302248,0.4644963722877483
CO2_Qst_CC_1bar,ligand_n_N_hetero,0.0015396100012543962,0.0008010337412711605,0.9812367757524312
CO2_Qst_CC_1bar,ligand_n_halogen,0.0642561781623593,0.044623965276197095,0.1891707604903004
CO2_Qst_CC_1bar,ligand_n_amino,-0.062020302662341896,-0.01703195961541176,0.6169216539338254
CO2_Qst_CC_1bar,ligand_TPSA,0.2800639164087914,0.04573660384428076,0.1783268620934344
CO2_Qst_CC_1bar,metal_Cu,-0.04679761314758293,-0.023240824693114934,0.49476109916791333
CO2_Qst_CC_1bar,metal_Mn,-0.005245870042867983,-0.003913983529291153,0.9085112586377322
CO2_Qst_CC_1bar,metal_Ni,-0.033272227905301086,-0.025995710038153468,0.44498567404843936
CO2_Qst_CC_1bar,metal_Other,0.05184167427678344,0.02293548365835592,0.5004541664577318
CO2_Qst_CC_1bar,metal_Zn,0.07741994783696442,0.04270120750649044,0.20903367296085618
CO2_Qst_CC_1bar,metal_Zr,0.1144505004640772,0.06334298003036934,0.06175985770940346
CO2_Qst_CC_1bar,topo_dia,0.012620300894406591,0.010989457862891423,0.7469274147583335
CO2_Qst_CC_1bar,topo_error,-0.09611901437512593,-0.07930767079208467,0.01903805478819281
CO2_Qst_CC_1bar,topo_lim,0.021398027240877728,0.0187484654111169,0.5818614631420393
CO2_Qst_CC_1bar,topo_lvt,0.09557450694681412,0.08140319556072582,0.01605550585247997
CO2_Qst_CC_1bar,topo_ntt,-0.027964868843650667,-0.014809458699616187,0.6636272797128919
CO2_Qst_CC_1bar,topo_pcu,-0.1839531725410582,-0.133099638450391,6.688292218994798e-05
CO2_Qst_CC_1bar,topo_pto,-0.010463383103336617,-0.0069045482465638075,0.8393474270171549
CO2_Qst_CC_1bar,topo_pts,0.10856732660934276,0.08105922882859722,0.016515164082154518
CO2_Qst_CC_1bar,topo_tbo,0.03443409883292636,0.02574587877482027,0.44937942240778717
