Target,Feature,shap_main,shap_interaction_total,shap_interaction_share
CO2_Qst_CC_1bar,void_fraction,1.4263914,1.8256751,0.5613892172492488
CO2_Qst_CC_1bar,accessible_pore_vol,0.0,0.0,0.0
CO2_Qst_CC_1bar,has_oms,0.016374277,0.04544384,0.7351217360865727
CO2_Qst_CC_1bar,density_g_cm3,0.0,0.0,0.0
CO2_Qst_CC_1bar,uc_volume_A3,0.253718,0.5811565,0.6961004135819295
CO2_Qst_CC_1bar,C_mass_frac,0.04927123,0.10872264,0.688144694754731
CO2_Qst_CC_1bar,N_mass_frac,0.017332636,0.04132726,0.7045232445450299
CO2_Qst_CC_1bar,O_mass_frac,0.1914458,0.3047243,0.614152895725313
CO2_Qst_CC_1bar,catenation,0.039248034,0.05014057,0.5609279688700007
CO2_Qst_CC_1bar,O_coord_ratio,0.0008655807,0.002057188,0.7038490434608837
CO2_Qst_CC_1bar,shortest_MM_dist,0.16595413,0.28475422,0.6317926648350601
CO2_Qst_CC_1bar,ligand_MW,0.06728808,0.13504148,0.6674332929758546
CO2_Qst_CC_1bar,ligand_LogP,0.061717927,0.12548217,0.6703103913379577
CO2_Qst_CC_1bar,ligand_n_heavy,0.011178728,0.018153712,0.6188953915317426
CO2_Qst_CC_1bar,ligand_n_aromatic_rings,0.13357958,0.23605014,0.6386124216646235
CO2_Qst_CC_1bar,ligand_n_carboxylate,0.015538608,0.03812602,0.7104497459134702
CO2_Qst_CC_1bar,ligand_n_N_hetero,0.008781757,0.016246285,0.6491232900839026
CO2_Qst_CC_1bar,ligand_n_halogen,0.00297964,0.0053721596,0.64323382103784
CO2_Qst_CC_1bar,ligand_n_amino,0.002970372,0.01100951,0.7875252218108262
CO2_Qst_CC_1bar,ligand_TPSA,0.04003558,0.0989856,0.7120181427719224
CO2_Qst_CC_1bar,metal_Co,0.0017206062,0.0035338993,0.6725464850835426
CO2_Qst_CC_1bar,metal_Cu,0.028073892,0.043999724,0.6104830932322063
CO2_Qst_CC_1bar,metal_Mn,0.02463953,0.04264133,0.6337810084284099
CO2_Qst_CC_1bar,metal_Ni,0.009885242,0.015043461,0.6034594025115725
CO2_Qst_CC_1bar,metal_Other,0.027896648,0.060613595,0.6848201006619461
CO2_Qst_CC_1bar,metal_Zn,0.0,0.0,0.0
CO2_Qst_CC_1bar,metal_Zr,0.0,0.0,0.0
CO2_Qst_CC_1bar,topo_Other,0.0020057813,0.0043115783,0.6824969228103517
CO2_Qst_CC_1bar,topo_dia,0.0,0.0,0.0
CO2_Qst_CC_1bar,topo_error,0.07748284,0.131498,0.6292347245134162
